formula,pred_stability,pred_bandgap,non_metal_confidence,promise_score
Zn(Sn4As7)2,0.15492440091348827,0.0,0.31167923659906627,0.0
ZnSn8As13,0.13722094583355662,2.081669626356319,0.5037480933781372,0.0
ZnSn7As13,0.15534541626240134,0.0,0.33914235439842033,0.0
ZnSn7As12,0.14164864609982283,0.0,0.4329886839751237,0.0
AlSnAs3,0.11523801791532881,0.0,0.16438084353861582,0.0
KSn6As11,0.15772295787016907,0.0,0.22229010829263618,0.0
K(Sn3As5)2,0.13720749146992084,0.0,0.3340785781268035,0.0
K(Sn2As3)3,0.13184796619678138,0.0,0.4726987761877187,0.0
KSn5As9,0.14520369029956962,0.0,0.20537401011271927,0.0
KSn5As8,0.13408396477866075,0.0,0.36512198558157827,0.0
K(SnAs2)4,0.1609025900396553,0.0,0.28394896113832324,0.0
KSn4As7,0.13809316999427293,0.0,0.4062063659935954,0.0
K(Sn2As3)2,0.1271456773029494,2.235982616445967,0.6504765328753497,0.0
K(SnAs2)3,0.14971503183147686,0.0,0.3539716825498024,0.0
SiSn2As3,0.2542559402020918,1.8672653174029274,0.6821297486104811,0.0
KSn3As4,0.23851910797841802,2.0363403829405993,0.5111884615087265,0.0
K(SnAs2)2,0.1817757950786247,0.0,0.3356735875844361,0.0
KSn2As3,0.3130870179905678,1.9192652071350467,0.5637792137900335,0.0
K(SnAs)2,0.31454036767413035,2.16757709368518,0.700891640852693,0.0
KSn2As,0.496578403833271,2.2951571109788604,0.7451697828370953,0.0
Nb(Sn5As8)2,0.13410974548360793,0.0,0.35126651556378097,0.0
NbSn9As16,0.15133446302629286,0.0,0.22049780308084266,0.0
Nb(Sn3As5)3,0.1506407851910152,0.0,0.21232964074721172,0.0
NbSn8As15,0.1508931044711118,0.0,0.20283251679917536,0.0
Nb(Sn4As7)2,0.15078791222901133,0.0,0.19973848235383096,0.0
KSn3As5,0.13141760157976895,2.2513611957073754,0.5026993075382953,0.0
Sn4As8W,0.1754062481360973,0.0,0.3559309349364951,0.0
Sn4As7W,0.15059772423659473,2.212587468316153,0.5527983199447217,0.0
Sn4As6W,0.13993124720307965,0.0,0.48801730435092183,0.0
Sn3As6W,0.15968231698934274,0.0,0.2646877766215432,0.0
Sn3As5W,0.13807955136383648,0.0,0.44883978901271904,0.0
Sn2As5W,0.17463355059007823,0.0,0.23449561515173867,0.0
Sn2As4W,0.1887290800051027,0.0,0.29148081950058946,0.0
Sn2As3W,0.320836609379377,1.9019867890959068,0.5853554275024611,0.0
SnAs3W,0.14264412950942676,0.0,0.4355383616236246,0.0
KSn7As11,0.1365399649313195,0.0,0.3838465487838385,0.0
SnAsW,0.3099748507086947,2.1638537625645315,0.5257421101161512,0.0
SnW,0.16322246670877807,0.0,0.383850981867351,0.0
K(Sn5As8)2,0.14044409538521888,0.0,0.3847806641467312,0.0
KSn9As16,0.15797365346866468,0.0,0.24627172656349505,0.0
K(Sn3As5)3,0.15697513509262623,0.0,0.23743961830201354,0.0
KSn9As14,0.13749569390502125,0.0,0.40303442631257835,0.0
K(Sn4As7)2,0.15829369964464168,0.0,0.21666800321332447,0.0
KSn8As13,0.13978471926310546,0.0,0.38274403764102427,0.0
K(Sn2As3)4,0.1371007296006525,0.0,0.3838465487838385,0.0
KSn7As12,0.14531291477250552,0.0,0.2919934097123883,0.0
SnAs2W,0.5289332395876096,2.0150080691649075,0.6639700491786205,0.0
Si(Sn3As5)3,0.1362628731169864,0.0,0.20972523076249694,0.0
SiSn8As15,0.13682003293784376,0.0,0.2003149723069294,0.0
Si(Sn4As7)2,0.13774649725976948,0.0,0.19724983845628752,0.0
SiSn8As13,0.1184135965654952,0.0,0.35519079864803127,0.0
SiSn7As13,0.13653806699434007,0.0,0.21782090966933254,0.0
SiSn7As12,0.12388921468850245,0.0,0.2681352535730277,0.0
SiSn7As11,0.11517148730116801,0.0,0.46963279511241374,0.0
SiSn6As11,0.1368305622577484,0.0,0.2888993621658077,0.0
Si(Sn3As5)2,0.11690473891564573,0.0,0.416256316720778,0.0
NbSn8As13,0.13230403041577388,0.0,0.35878152164949373,0.0
SiSn5As9,0.12062112823965905,0.0,0.36314241811706616,0.0
SiSn5As8,0.10956122036572123,2.2600994113225563,0.5422733487333631,0.0
Si(SnAs2)4,0.1385500347410599,0.0,0.30933348519781956,0.0
SiSn4As7,0.1127848291433692,0.0,0.49610367559869917,0.0
SiSn3As7,0.14048538549165945,0.0,0.320423685492213,0.0
Si(SnAs2)3,0.12012653923275513,0.0,0.3778035820626299,0.0
SiSn3As5,0.0845856702881086,2.4485006117112342,0.6613254282926104,0.0
SiSn2As5,0.11522925378818105,0.0,0.278575540343468,0.0
Si(SnAs2)2,0.12147602817808677,2.301577546573417,0.545513520403553,0.0
Sn10As16Se,0.1369801794453124,0.0,0.48273715170267406,0.0
Si(SnAs2)5,0.13734548685810197,0.0,0.30823286883765055,0.0
NbSn7As13,0.1501236603038578,0.0,0.22049780308084266,0.0
NbSn7As12,0.1377796485387811,0.0,0.21463097651051055,0.0
NbSn7As11,0.12900644832289035,0.0,0.23002093498145249,0.0
NbSn6As11,0.1501843499656612,0.0,0.12054173587004735,0.0
Nb(Sn3As5)2,0.12898117784522867,0.0,0.19392031618425798,0.0
Nb(SnAs2)5,0.14909040111136948,0.0,0.13067902253030572,0.0
NbSn5As9,0.12267323313781879,0.0,0.16133539735780988,0.0
NbSn5As8,0.07460321391252536,0.0,0.25348188225227153,0.0
Nb(SnAs2)4,0.09878380516520306,0.0,0.1447420958596055,0.0
SiSn9As16,0.1372613914930248,0.0,0.21782090966933254,0.0
Nb(Sn2As3)2,0.04588912578411864,0.0,0.41708197668301294,0.0
Nb(SnAs2)3,0.044430697433131966,0.0,0.1719904854678448,0.0
NbSn3As5,0.019480553267869148,0.0,0.35243694009920623,0.0
NbSn2As5,0.05391454734424753,0.0,0.16653485433690185,0.0
Nb(SnAs2)2,0.07296060070584141,0.0,0.23235272283148634,0.0
NbSn2As3,0.2223493496790865,0.0,0.32300948888967285,0.0
NbSnAs3,0.02222248908111115,0.0,0.1450819195251638,0.0
NbSnAs2,0.5186913090402139,2.1213804519263,0.5425657933624293,0.0
NbSnAs,0.17435449796304942,0.0,0.43612262737084073,0.0
Si(Sn5As8)2,0.11973183340957888,0.0,0.3477102192682734,0.0
NbSn4As7,0.059643854876235254,0.0,0.2581171408479632,0.0
Mn(Sn3As5)2,0.3083285452396678,0.0,0.3767002028257347,0.0
Mn(SnAs2)5,0.32837359356450535,0.0,0.274121538709694,0.0
MnSn5As9,0.3184927628645244,0.0,0.32581646382156904,0.0
MnSn5As8,0.3073781286396941,0.0,0.44070920427336246,0.0
Mn(SnAs2)4,0.3372226189896235,0.0,0.2751487993264322,0.0
MnSn4As7,0.30957734324845876,0.0,0.3957111146735859,0.0
Mn(Sn2As3)2,0.3006368516564508,2.4681201275665123,0.6003021984318635,0.0
Mn(SnAs2)3,0.31149366831050973,0.0,0.24623538475325957,0.0
MnSn3As5,0.2946811129739848,2.307179728366513,0.5420377660209079,0.0
Sn8TeAs14,0.15505419059710704,0.0,0.22680610013607716,0.0
Mn(SnAs2)2,0.3418116795203999,0.0,0.44074591572691935,0.0
MnSn2As3,0.3984508942624481,1.9168817846033304,0.6032300817735508,0.0
MnSnAs3,0.29867044917218183,0.0,0.27645713832771057,0.0
MnSnAs2,0.5686718782086365,2.0570274544125198,0.7055025201669127,0.0
MnSnAs,0.4361082361642305,2.2051612713378876,0.7396068211431963,0.0
Na(Sn5As8)2,0.13561638591313985,0.0,0.40057906724956727,0.0
NaSn9As16,0.15309395976347806,0.0,0.25877525285198677,0.0
Na(Sn3As5)3,0.15168154271116976,0.0,0.2496432481370615,0.0
NaSn8As15,0.15223870253202718,0.0,0.20881938142784928,0.0
Na(Sn4As7)2,0.15392210368165232,0.0,0.20565758291824043,0.0
MnSn2As5,0.326554026917432,0.0,0.302906823289649,0.0
Cu(SnAs2)4,0.18684520852706496,0.0,0.008121078121839598,0.0
CuSn4As7,0.16260167298755657,0.0,0.017644669951633052,0.0
Cu(Sn2As3)2,0.1509738344159826,0.0,0.03571278969489167,0.0
Cu(SnAs2)3,0.1716353577845392,0.0,0.010207376497979426,0.0
CuSn3As5,0.15189279614055073,0.0,0.04730807461233677,0.0
CuSn2As5,0.1860153745905585,0.0,0.014765417267659009,0.0
Cu(SnAs2)2,0.20218735473058683,0.0,0.024703657153091196,0.0
